Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Negative Talking Points	Positive Talking Points	Category	Archetypes
Al Gore	Al Gore	male	Carthage	Tennessee	USA	left	divorced	George W. Bush	lecturing about climate change	Prius	earnest stare	staid suit	the Left, the Democrats, the Environment	politics				The Internet			po-faced, boring, stiff, preachy, sanctimonious	energetic, eloquent, persistent	Campaigner, Politician, Vice President	
Al Pacino	Al Pacino	male	Beverly Hills, Hollywood	California	USA	left			shouting in Hollywood movies	Range Rover	over-acting		Acting, Hollywood	movies							loud, frenetic, hackneyed, self-parodying	convincing, entertaining, compelling	Actor	
Alan Greenspan	Alan Greenspan	male	Federal Reserve	New York City	USA	right, libertarian	married		talking up the economy		incisive economics lecture		Economics	politics							unsympathetic, calculating	insightful, systematic, scholarly,	Economist, Advisor	
Alan Sugar	Alan Sugar	male	Tottenham	London	UK	right	married	Piers Morgan	selling consumer goods	Rolls-Royce Ghost	earnest stare	three-piece suit	British business	business				Amstrad		The Apprentice	narcissistic, opinionated, pushy	successful, dominant, entrepreneurial	Businessman	
Albert Einstein	Albert Einstein	male	Princeton	New Jersey	USA	left	married, divorced	Niels Bohr	revolutionizing physics	bicycle	dandruff blizzard	baggy trousers	Physics, Relativity	science		Andy Serkis		Special Relativity, General Relativity			scruffy, unfaithful, eccentric	inventive, imaginative, farseeing, clever, creative, brilliant, curious	Scientist, Genius	
Alec Baldwin	Alec Baldwin	male	Rockerfeller Center	New York City	USA	left	married, divorced	Kim Bassinger	attacking paparazzi	New York taxicab	head butt, head lock, angry rant		Acting, Hollywood	movies							angry, volatile, pushy, opinionated	talented, compelling	Actor	
Alfred Hitchcock	Alfred Hitchcock	male	Bates Motel	California	USA		married	Raymond Chandler	making suspense movies,		belly push, belly flop	extra-large trousers	Directing, Suspense,	movies				Psycho, Vertigo, Rear Window			fat, overbearing, pushy	suspenseful, masterly, clever, smart, groundbreaking, pioneering, technically-talented, stylish	Director	
Allan Quatermain	Allan Quatermain	male	Garrick Club	London	UK				exploring darkest Africa	elephant	whip, service revolver	safari suit	Victorian literature	literature	fictional	Richard Chamberlain, Sean Connery	H. Rider Haggard		The League of Extraordinary Gentlemen	She, The League of Extraordinary Gentlemen	snobby, Victorian, elitist	brave, daring, dashing, intrepid	Explorer, Adventurer	Lei
Andrew Lloyd Webber	Andrew Lloyd-Webber	male	The West End	London	UK	right	married		making insipid musicals	Starlight Express	bad breath, cliched lyrics		Musicals, Musical Theatre	music, theatre				Cats, The Phantom of the Opera			bland, unimaginative, unoriginal, predictable	catchy, prolific, successful, entertaining	Composer	
Andy Warhol	Andy Warhol	male	The Factory	New York City	USA			Roy Lichtenstein	painting over photographs, painting soup cans	M1 Group 4 race car	sharpened paint brush, napalm airbrush, dandruff blizzard		Modern painting, Pop art	art				Campbell's Soup Can	The Factory		commercial, exploitative, predictable	original, mischievous, bohemian, quirky, entrepreneurial	Artist, Painter	
Angelina Jolie	Angelina Jolie	female	Beverly Hills, Hollywood	California	USA	left	married to Brad Pitt	Jennifer Aniston	adopting children, starring in Hollywood movies,	Prius	pepper spray, Taser gun	little black dress	Acting, Hollywood	movies							selfrighteous, judgmental, sanctimonious, preachy	beautiful, compelling, talented	Actress, Campaigner	
Ann Coulter	Ann Coulter	female		Washington D.C.	USA	right		Michael Moore	ranting about liberals	Cadillac gas-guzzler	pepper spray, Taser gun, knee kick	little black dress	the Right, the Republicans	politics							toxic, rude, selfrighteous, ascerbic, ambitious, controversial, pushy, preachy, cynical, caustic	persistent, eloquent, clever, tenacious	Pundit, Conservative	
Anna Karenina	Anna Karenina	female		Moscow	Russia		married		worrying about adultery	horse-drawn carriage	lady's fan	evening gown	Russian literature	literature	fictional	Keira Knightley, Greta Garbo	Leo Tolstoy			Anna Karenina	unfaithful, adulterous	beautiful, passionate, educated	Wife, Adulteress	Tsu
Emma Bovary	Emma Bovary	female	Rouen	Normandy	France		married		planning adultery, climbing social ladders	horse-drawn carriage	lady's fan	bustle	Madame Bovary, the Middle Class	literature	fictional	Mia Wasikowska	Gustave Flaubert			Emma Bovary	fickle, inconstant, unfaithful, adulterous, disloyal, capricious, social-climbing	pretty, beautiful, daring, ambitious	Wife, Adulteress	Tsu
Anthony Bourdain	Anthony Bourdain	male	JFK Airport	New York City	USA				eating exotic foods, eating the inedible,	subway	kitchen cleaver	apron	Cooking, the Kitchen	television, cooking				Kitchen Confidential		Kitchen Confidential	profane, rude, vulgar	urbane, cheeky, witty, straight-talking	Chef, TV Host	
Anton Chekov	Anton Chekov	male		Moscow	Russia				writing plays about the middle classes	horse-drawn carriage			Russian literature	literature, theatre				Uncle Vanya, The Cherry Orchard			dour, serious	insightful, erudite, literary	Playwright	
Antonio Vivaldi	Antonio Vivaldi	male	Hotel Sacher	Vienna	Austria				composing classical music	horse-drawn carriage	violin-string garrote		Classical music	music, art				The Four Seasons			proud, vain, boastful	lively, creative, melodic, tuneful	Composer	
Archie Bunker	Archie Bunker	male	Jackson Heights, Brooklyn	New York City	USA	right	married		ranting about liberals, ranting about minorities	family sedan	haymaker	slippers	American culture, the Working Class	television, culture	fictional	Carroll O'Connor	Norman Lear			All In The Family	fat, racist, bigoted, prejudiced, uneducated, crass, argumentative, fat, intolerant	sincere, heartfelt, witty	Bigot, Racist, Father	Mug
Ariel Sharon	Ariel Sharon	male	Mount of Olives	Tel Aviv	Israel	right		Shimon Peres, Yasser Arafat	building giant walls	armored car	belly push, belly flop		Israeli politics, Middle-Eastern politics	politics				The Israeli West Bank barrier			militaristic, hawkish, overbearing, insensitive, strident	patriotic, determined	Politician, Prime Minister	
Aristotle	Aristotle	male	The Agora	Athens	Greece			Speusippus	writing on wax tablets, teaching philosophy to future leaders, teaching the next generation	sedan chair	flying flip-flop	toga, sandals	Ancient philosophy, Greek philosophy, the Ancient world, Ancient Greece	philosophy		John Gielgud		The Poetics			bookish, schoolmasterish, dry	insightful, clever, systematic, wide-ranging	Philosopher, Teacher, Mentor	
Arnold Schwarzenegger	Arnold Schwarzenegger	male	Sacramento	California	USA	right	divorced from Maria Shriver	Sylvester Stallone	working out, making action movies	gas-guzzling Hummer	head lock, 'roid rage	Gargoyle shades	Acting, Action movies	movies							musclebound, inarticulate, stiff, oafish	witty, muscular, strong, powerful	Actor, Action Star	
Arthur Conan Doyle	Arthur Conan Doyle	male	The Strand	London	UK		married	Harry Houdini	writing mystery stories	horse-drawn carriage	violin-string garrote, service revolver	deerstalker hat	Detective fiction	literature				Sherlock Holmes, Dr. John Watson, Professor James Moriarty			gullible, credulous, guileless, uncritical	detail-oriented, clever, engrossing	Writer, Novelist	
Atticus Finch	Atticus Finch	male	Maycomb County	Alabama	USA	left	widowed		representing the disenfranchised	family sedan	rule of law, appeal to reason	tweed jacket	the Law, the American South	law	fictional	Gregory Peck	Harper Lee			To Kill A Mocking Bird	pious	caring, protective, loving, benevolent	Lawyer, Father	Mug
Audrey Hepburn	Audrey Hepburn	female	Tiffany's 5th Avenue	New York City	USA	left	married, divorced		starring in romantic comedies		Tiffany knuckle-duster	little black dress	Acting, Hollywood	movies							lightweight, insubstantial	pretty, elegant, cute	Actress, Campaigner	
Aung San Suu Kyi	Aung-San Suu-Kyi	female		Rangoon	Burma	left			campaigning for democracy	sedan chair	sharpened chop stick	conical hat	Asian politics	politics							preachy	resolute, patient, caring, determined, brave	Campaigner, Politician	
Austin Powers	Austin Powers	male	Mayfair	London	UK		single	Dr. Evil, Fat Bastard	foiling the schemes of evil villains, shagging spies	VW Beetle	Swedish penis pump, bad breath, blinding dress sense	stripey trousers, flouncy shirt, purple velvet jacket	Spy spoofs, Bond spoofs, Spy movies	movies	fictional	Mike Myers	Mike Myers			The Spy Who Shagged Me, Gold Member	goofy, ugly, silly, sex-addled, egotistical	resourceful, determined, hip, cool	Spy, Adventurer, Secret Agent	Lrg
Ayn Rand	Ayn Rand	female	Upper East Side	New York City	USA	right	single	Karl Marx	promoting Objectivism, ranting about liberals	Cadillac gas-guzzler	Fountainhead butt		Capitalism, Objective philosophy	philosophy, economics		Helen Mirren		Objectivism	Objectivism		unsympathetic, selfish, uncaring	objective, unsentimental	Philosopher, Capitalist, Writer	
Babe Ruth	Babe Ruth	male	Baltimore	Maryland	USA				hitting home runs	Lincoln towncar	baseball bat	baseball uniform	Baseball, American sports	sport		John Goodman			The New York Yankees, The Boston Red Sox		fat, slobbish, boorish	hard-hitting,	Baseball Player	
Barack Obama	Barack Obama	male	White House	Washington D.C.	USA	left	married to Michelle Obama	John McCain, Hillary Clinton, Osama Bin Laden	campaigning for the presidency, giving speeches	armored towncar	Yes We Cannon	sharp suit	American politics	politics				Obamacare	The Democratic Party		aloof, cold, overly-rational, ineffective	eloquent, inspiring, intellectual, educated, logical	President, Politician, Orator	
Barry White	Barry White	male	Galveston	Texas	USA				singing romantic songs		Voice cannon	extra-large trousers	Pop music, Love songs	music, singing							overweight, sentimental	romantic, sultry, deep-voiced	Singer	
Bart Simpson	Bart Simpson	male	Springfield		USA	libertarian	single	Principal Seymour Skinner, Sideshow Bob, Nelson Muntz	playing pranks, making prank calls	skateboard	catapult	blue shorts	Family life, Comedy	television, cartoons	fictional	Nancy Cartwright	Matt Groening		The Simpsons Family	The Simpsons	rude, boorish, insensitive	mischievous, playful, curious	Child, Schoolkid	Scr, Lrg
Basil Fawlty	Basil Fawlty	male	Fatty Owls Hotel	Torquay	UK	right	married to Cybil Fawlty	Cybil Fawlty	condescending to customers, beating menial staff, terrorizing employees, running a hotel	old banger	long arms, funny walk	extra-long trousers	British comedy, the Hotel business	comedy, television, business	fictional	John Cleese	John Cleese	Fawlty Towers Hotel	Fawlty Towers	Fawlty Towers	rude, boorish, overbearing, snobby, elitist, insensitive, priggish, snooty	tall, witty	Hotelier, Snob	Wes
Bear Grylls	Bear Grylls	male	Surbiton	London	UK		married		eating bugs, licking frogs, sucking roots	home-made raft	sharpened twig, cactus needles, poison ivy	all-weather gear	Reality TV, the Outback	television							reckless, overzealous	adventurous, brave, telegenic, confident, capable	Adventurer, Explorer, Survivalist	
Ben Affleck	Ben Affleck	male	Falmouth	Massachusetts	USA	left	married to Jennifer Garner	Jennifer Lopez	making bad movie choices, avoiding paparazzi		Oscar statuette		Acting, Hollywood	movies				Good Will Hunting			bland, unconvincing, hammy	handsome, square-jawed	Actor, Director	
Benedict Arnold	Benedict Arnold	male	Boston	Massachusetts	USA			George Washington	betraying friends, stabbing in the back, selling out, changing sides	horse-drawn carriage	knife in the back	turncoat	American history, American politics, Betrayal	history, politics							traitorous, disloyal, sneaky, two-faced, treacherous	clever, shrewd	Traitor, General	
Benjamin Franklin	Benjamin Franklin	male	Philadelphia	Pennsylvania	USA				testing scientific theories	horse-drawn carriage	electrified kite		American history, American politics	history, politics		Timothy Busfield		the lightning rod			fat,	inventive, eloquent, imaginative, patriotic	Inventor, Politician	
Benny Hill	Benny Hill	male	Teddington	London	UK		single		chasing old women		sexy saxophone		British comedy, British humour	comedy, television							fat, oafish, sleazy, sexist, racist	funny, entertaining, witty	Comedian	
Bertie Wooster	Bertie Wooster	male	Mayfair	London	UK	right, libertarian	single		playing the piano, chasing flappers, doing the Charleston	1930's Aston Martin	walking stick	dapper suit, Trilby, Ascot	British comedy, British class politics	comedy, television, literature	fictional	Hugh Laurie	P. G. Wodehouse		The Drones club	Jeeves and Wooster	foolish, silly, gullible, lazy	affable, friendly, decent, honest, honorable, rich	Fool, Gentleman	Foo, Mug
Bill Clinton	Bill Clinton	male	Little Rock	Arkansas	USA	left	married to Hillary Clinton, cheating with Monica Lewinsky	Barach Obama, Newt Gingrich	chasing interns	armored towncar	honey-soaked charm	sharp suit	American politics, the Left, the Democrats	politics					The Democratic Party		lusty, priapic, overambitious, adulterous, slick,dishonest, manipulative, wonky	affable, emotic, empathic, clever, eloquent	President, Politician, Lecher	
Bill Cosby	Bill Cosby	male	Philadelphia	Pennsylvania	USA	left	married		telling affable jokes	1966 Shelby Cobra	avuncular charm	sweater	American comedy, American culture, Comedy, Acting	comedy, culture,						The Cosby Show	pious, preachy	affable, funny, avuncular, witty	Comedian, Actor	
Bill Gates	Bill Gates	male	Seattle	Washington State	USA		married to Melinda Gates	Steve Jobs	making billions, pushing dodgy operating systems, funding a cure for malaria	Porsche	blue screen of death	bad suit	Microsoft, Technology, Software, the Software business	technology, business		Anthony Michael Hall		Microsoft, Microsoft DOS, Microsoft Windows, Microsoft Word	Microsoft		nerdy, geeky, scruffy, overly-competitive	rich, intelligent, successful, powerful, competitive, business-savvy, philanthropic	Inventor, Businessman, Programmer, CEO	
Bill Murray	Bill Murray	male	Wilmette	Illinois	USA	left			starring in indy movies, telling dry jokes	1959 Cadillac Ecto-1	Ghostbusting power ray	Caddyshack T-shirt	American comedy, American culture	comedy, culture,							sarcastic	laidback, witty, cool, funny,	Comedian, Actor	
Billy Bob Thornton	Billy-Bob Thornton	male	Hot Springs	Arkansas	USA	left	divorced from Angelina Jolie		playing intense characters, starring in indy movies		sling blade		Acting, Hollywood	movies							creepy	compelling, convincing	Actor, Campaigner	
Billy Crystal	Billy Crystal	male	East Park Avenue	New York City	USA	left	married		doing stand-up, starring in comedies		bad jokes		American comedy, American culture, Comedy, Acting	comedy, culture,							ingratiating	funny, witty, entertaining	Comedian, Actor	
Bing Crosby	Bing Crosby	male	Spokane	Washington State	USA	right	married		singing middle-of-the-road songs	1956 Ford Thunderbird		sports jacket	Pop music, Love songs	music, singing							stiff, uncool	entertaining, tuneful, affable, smooth	Singer, Actor, Crooner	
Bob Dylan	Bob Dylan	male	Duluth	Minnesota	USA	left			singing protest songs,	Mary's New Car	tambourine, croaky voice	scruffy jeans	Folk music, Protest songs	music, singing				Subterranean Homesick Blues	Traveling Wilburys		preachy, scruffy, selfrighteous, screechy, nasal, whiny, croaky	soulful, tuneful, caring, philosophical, lyrical, eloquent	Singer, Composer, Campaigner, Guitarist	
Leonard Cohen	Leonard Cohen	male	Westmount, Montreal	Quebec	Canada	left	single		singing melancholy songs,	little green MG sportscar	croaky voice	Famous Blue Raincoat	Love songs	music, singing, poetry				Bird On The Wire, Suzanne			croaky, depressing, depressive, raspy	soulful, tuneful, philosophical, lyrical, poetic, witty	Singer, Composer	
Bob Marley	Bob Marley	male	Kingston	Jamaica	Carribean	left			smoking herb, singing reggae songs	BMW Bavaria	incendiary joss sticks	dreadlocks	Reggae music, Pop Music, Carribean music	music, singing				Buffalo Soldier	The Wailers		militant, dope-addled	funky, soulful, tuneful,	Reggae Singer, Singer	
Boba Fett	Boba Fett	male	Sarlaac Pit		Tatooine	right, libertarian	single	Han Solo, Luke Skywalker	collecting bounties on runaways, tracking down fugitives	Slave I	harpoon gun	cool helmet	Star Wars	science fiction	fictional	Jason Wingreen	George Lucas			The Empire Strikes Back, Return of the Jedi	cold, calculating, greedy, uncaring, mercenary	brave, intrepid, cool, capable, devious	Bounty Hunter, Villain	Dra, Lei, Lrg
Bobby Fischer	Bobby Fischer	male	Chicago	Illinois	USA	right	single	Boris Spassky	playing aggressive chess		queen's gambit		Chess	sport							kooky, racist, unstable, eccentric	clever, intelligent, strategic	Chess Player	
Bono	Bono Hewson	male	Howth	Dublin	Ireland	left	married	Paul Theroux, Chris Martin, Sean Diddy Combs	singing rock songs, avoiding taxes, preaching to presidents	Actung Baby Trabant, U2 Spy Plane	iTunes malware	fake snakeskin trousers	Rock music,	music, singing				With Or Without You, The Sweetest Thing	U2		santimonious, holier-than-thou, preachy, short, stumpy, narcissistic	socially-conscious, energetic, talented, entertaining, lyrical, tuneful, melodious	Rock Singer, Musician, Campaigner	
Brad Pitt	Brad Pitt	male	Beverly Hills, Hollywood	California	USA	left	married to Angelina Jolie		starring in Hollywood movies,	Prius	washboard abs, zombie antibodies	Levi's jeans	Acting, Hollywood	movies					Ocean's 11		shallow	handsome, chiseled, charismatic	Actor	
Brian Wilson	Brian Wilson	male	Inglewood	California	USA				waxing a surfboard, singing multipart harmonies	surfboard	multipart harmonies		Pop music, Love songs, the Beach Boys	music, singing				Pet Sounds	The Beach Boys		kooky, eccentric, troubled	tuneful,	Singer, Composer, Musician	
Bridget Jones	Bridget Jones	female	Bedale Street	London	UK	left	single	Daniel Cleaver	keeping a diary, moaning about men	London taxicab	bad cooking, self-pity, sharp-edged bookmark	size 16 dress	British culture	culture	fictional	Renée Zellweger	Helen Fielding			The Diary of Bridget Jones	shallow, annoying, irritating, narcissistic	bouncy, sincere,	Diarist, Reporter	Tsu, Sue
Britney Spears	Britney Spears	female	McComb	Mississippi	USA		divorced		flirting with rednecks, having meltdowns in public	Mercedes-Benz G55	false nails	cut-off jeans	Pop music, Tweeny music	music, singing				Baby One More Time	The Mickey Mouse Club		tacky, wacky, sleazy, burnt-out	pretty, energetic, sultry	Pop Singer, Singer, Has-Been	
Bruce Lee	Bruce Lee	male	Chinatown	California	USA		married		performing kung-fu moves, starring in kung-fu movies	Black Beauty	1-inch punch, throat punch, Kung Fu	Kung-fu pyjamas, Chinese pyjamas	Martial Arts, Kung Fu	sport, movies				Mixed Martial Arts	The Shaolin Temple		wooden, unconvincing	agile, graceful, balletic, skillful, muscular	Actor, Martial Artist	
Bruce Springsteen	Bruce Springsteen	male	Freehold	New Jersey	USA	left	married		singing rock songs	pickup truck	razor-edged plectrum,	old jeans	Rock music,	music, singing				Born in the USA	The E Street Band		loud, angry, preachy	authentic, impassioned, fervent, impassioned	Singer, Composer, Rock Singer	
Bruce Wayne	Bruce Wayne	male	Wayne Mansion	Gotham City	USA	right	single	The Joker	attending cocktail parties, running a multinational corporation, maintaining a secret identity	Lamborghini Aventador	trust fund, giant silver spoon	cowboy hat, leather chaps	DC Comics, Big business, Gotham City	movies, comics, business	fictional	Michael Keaton, Val Kilmer, Adam West, Christian Bale	Bob Kane	Batman	The Wayne Foundation	Batman Begins, The Dark Knight, The Dark Knight Rises	troubled, lonely, hedonistic, womanizing, decadent, pampered, secretive	rich, suave, handsome, powerful, dashing, charming, debonair, privileged	Billionaire, Philanthropist, Orphan	Lrg, Mad, Dbd
Commissioner James Gordon	James Gordon	male	Gotham Central	Gotham City	USA	right	married to Barbara Gordon	The Joker, Carmine Falcone, Harvey Dent	pursuing criminals, apprehending criminals, arresting criminals	police cruiser	SIG-Sauer P226	rumpled trenchcoat	DC Comics, Gotham City	movies, comics, law	fictional	Gary Oldman	Bob Kane		Gotham Police Department	Batman Begins, The Dark Knight, The Dark Knight Rises	gruff, stern, self-righteous, moralistic, obsessive	committed, decent, honest, incorruptible, indomitable, upright	Policeman, Cop, Police Commissioner	Dbd
Harvey Dent	Harvey Dent	male	Gotham Courthouse	Gotham City	USA	right	divorced from Gilda Dent	Batman, Sal Moroni, Carmine Falcone	convicting criminals, tempting fate, tossing coins	custom dentmobile	sulphuric acid	half-and-half suit	DC Comics, Gotham City	movies, comics, law	fictional	Aaron Eckhart	Bob Kane		Gotham Police Department	Batman Begins, The Dark Knight, The Dark Knight Rises	twisted, vengeful, schizophrenic, disfigured, bipolar, demented, obsessive, compulsive, paranoid, unhinged	cunning, clean-cut, dedicated, ambitious , driven	Lawyer, Prosecutor, District Attorney	Kt, Mad
Batman	Batman	male	The Batcave	Gotham City	USA	right	single	The Joker	tracking down criminals, preventing crime, solving crimes, punishing criminals	Batmobile	batarang, gas pellets,	Batman costume, black cape	DC Comics, Gotham City	comics, movies	fictional	Michael Keaton, Val Kilmer, Adam West, Christian Bale	Bob Kane	The Batcave	The Super Friends, The Justice Society	Batman Begins, The Dark Knight, The Dark Knight Rises	vengeful, secretive, punitive, po-faced, stern	justice-minded, brave, bold, dashing, crusading, agile, nimble, strong, resourceful	Hero, Superhero	Ah, Lrg
Buck Rogers	Buck Rogers	male					single		surviving in the 25th century	space battle cruiser	ray gun	spacesuit	Space Operas	science fiction	fictional	Gil Gerard	Philip Francis Nowlan			Buck Rogers in the 25th Century	gung-ho, old-fashioned	dashing, brave, intrepid, daring	Astronaut, Hero	H, Edh
Buddha	Buddha	male	Kapilavastu	Nepal	Indian Sub-continent	left	single		promoting Buddhism	sedan chair	belly push, belly flop	loin cloth	Eastern religion, Eastern philosophy	religion, philosophy		Keanu Reeves		Buddhism	Buddhism		fat, obese, preachy	philosophical, insightful, meditative, inspiring	Religious Leader, Philosopher	
Buzz Aldrin	Buzz Aldrin	male	Montclair	New Jersey	USA		married		piloting the lunar module, collecting rock samples, piloting a spaceship, staring at the moon	Apollo 11 Moon Lander	gas gun	spacesuit	NASA, Space flight, the Moon	aeronautics					Apollo 11		disappointed, pushy	dashing, intelligent, eloquent, brave	Astronaut, Pilot	
Buzz Lightyear	Buzz Lightyear	male	Andy's Room	Everytown	USA		single		falling gracefully	spaceship-shaped box	pop gun	spacesuit	Pixar, Toy Story	cartoons, movies	fictional	Tim Allen	John Lasseter		The Toy Box	Toy Story	cocky, egotistical, narcissistic, gung-ho	dashing, brave, pluckly, heroic, daring, intrepid	Astronaut, Hero	H, Edh, Gia
Emperor Caligula	Caligula	male	Capitoline Hill	Rome	Italy	right	single		terrorizing citizens, abusing power,	sedan chair	short sword, poison	toga	the Roman Empire, Ancient Rome	history, politics		Malcolm McDowell			The Roman Empire		evil, cruel, ruthless, tyrannical, sadistic, perverse, narcissistic, self-deifying	mischievous, playful, eccentric, extravagant	Emperor, Tyrant	Cce, Bad
Cameron Diaz	Cameron Diaz	female	Beverly Hills, Hollywood	California	USA		single		starring in romantic comedies		pepper spray	little black dress	Acting, Comedy	movies							bland, unconvincing	beautiful, pretty, sexy	Actress	
Captain Ahab	Jonas Ahab	male	Lenox	Massachusetts	USA		single	The White Whale	chasing a great white whale, commanding a whaling ship	Nantucket whaleship "Pequod"	harpoon gun		Moby Dick, Whaling	literature	fictional	Gregory Peck	Herman Melville		The Pequod	Moby Dick	obsessive, overzealous	driven, committed, passionate, determined	Captain, Obsessive	
Cardinal Richelieu	Armand Richelieu	male	Palais Cardinale	Paris	France	right	single		plotting strategies, directing the business of state	sedan chair	hidden dagger	red soutane	French history, French politics, pre-Revolutionary France	history, politics		Raymond Massey					ruthless, cynical, manipulative, controlling	powerful, masterful, farseeing, strategic, cunning	Religious Leader, Politician	
Carl Lewis	Carl Lewis	male	Birmingham	Alabama	USA			Ben Johnson	winning gold medals, competing in athletic events		sharpened cleats	running shoes, running shorts	Athletics, the Olympics	sport							egotistical, driven, ambitious, preening	fast, graceful, agile	Athlete, Olympian	
Carl Sagan	Carl Sagan	male	Brooklyn	New York City	USA			Edward Teller	studying the cosmos	Porsche 914	big words, cosmic rays	tweed jacket, leather elbow patches	Astronomy, the Cosmos	science, television				Cosmos			humorless, preachy	insightful, eloquent, passionate, clever, widely-read, influential, passionate	Astronomer, TV Host	
Stephen Jay Gould	Stephen Jay-Gould	male	Queens	New York City	USA	left	married	Richard Dawkins, Richard C. Lewontin	collecting fossils, promoting evolutionary theory	Segway scooter	dinosaur tooth	tweed jacket, leather elbow patches	Evolution, Humanism	science, television				Punctuated Equilibrium			preachy, quarrelsome, pugnacious, impish	insightful, eloquent, passionate, clever, widely-read, empirical, influential, impish	Evolutionary Biologist, Paleontologist, Writer	
Carrie Bradshaw	Carrie Bradshaw	female	Manhattan	New York City	USA	left	married to Mr. Big		writing about sex, shopping for shoes, gossiping with galpals	New York taxicab	sharpened stiletto heel, pepper spray	Manolo Blahniks, Jimmy Choo shoes	Sex and the City, Manhattan	television,	fictional	Sarah Jessica Parker	Candace Bushnell	Sex and the City		Sex and the City	shallow, grating, whiny	affable, witty, eloquent, fashionable	Writer, Shopper, Diarist	Tsu
Enrico Caruso	Enrico Caruso	male	Piazza Ottocalli	Naples	Italy				singing opera arias		shattering voice	Pagliacci clown suit	Opera	music, singing							egotistical, fat, overweight, hackneyed	tuneful, melodic,	Singer, Opera Singer	
